NUTS_ID;Summer_op_IEQI_low;Summer_op_IEQI_high;Summer_op_IEQII_low;Summer_op_IEQII_high;Summer_op_IEQIII_low;Summer_op_IEQIII_high;Summer_op_IEQIV_low;Summer_op_IEQIV_high;Summer_setp_unoccupied;nuts_level
AT;23,5;25,5;23;26;22;27;21;28;32;0
BE;23,5;25,5;23;26;22;27;21;28;32;0
BG;23,5;25,5;23;26;22;27;21;28;32;0
HR;23,5;25,5;23;26;22;27;21;28;32;0
CY;23,5;25,5;23;26;22;27;21;28;32;0
CZ;23,5;25,5;23;26;22;27;21;28;32;0
DK;23,5;25,5;23;26;22;27;21;28;32;0
EE;23,5;25,5;23;26;22;27;21;28;32;0
FI;23,5;25,5;23;26;22;27;21;28;32;0
FR;23,5;25,5;23;26;22;27;21;28;32;0
DE;23,5;25,5;23;26;22;27;21;28;32;0
EL;23,5;25,5;23;26;22;27;21;28;32;0
HU;23,5;25,5;23;26;22;27;21;28;32;0
IE;23,5;25,5;23;26;22;27;21;28;32;0
IT;23,5;25,5;23;26;22;27;21;28;32;0
LV;23,5;25,5;23;26;22;27;21;28;32;0
LT;23,5;25,5;23;26;22;27;21;28;32;0
LU;23,5;25,5;23;26;22;27;21;28;32;0
MT;23,5;25,5;23;26;22;27;21;28;32;0
NL;23,5;25,5;23;26;22;27;21;28;32;0
PL;23,5;25,5;23;26;22;27;21;28;32;0
PT;23,5;25,5;23;26;22;27;21;28;32;0
RO;23,5;25,5;23;26;22;27;21;28;32;0
SK;23,5;25,5;23;26;22;27;21;28;32;0
SI;23,5;25,5;23;26;22;27;21;28;32;0
ES;23,5;25,5;23;26;22;27;21;28;32;0
SE;23,5;25,5;23;26;22;27;21;28;32;0
UK;23,5;25,5;23;26;22;27;21;28;32;0
